exp_id,model,features,feature_count,n_estimators,dataset_test_size,hz,data_set,quantization,other_params,saved_model_path,accuracy,precision,recall,f1
random_forest_4_20hz,random_forest,"['acc_x', 'acc_y', 'acc_z', 'gyro_x', 'gyro_y']",5,4,0.35,20,base,,default,models/inf_time_test/random_forest/optimized/base\random_forest_random_forest_4_20hz.py,1.0,1.0,1.0,1.0
random_forest_5_20hz,random_forest,"['acc_x', 'acc_y', 'acc_z', 'gyro_x', 'gyro_y']",5,5,0.35,20,base,,default,models/inf_time_test/random_forest/optimized/base\random_forest_random_forest_5_20hz.py,1.0,1.0,1.0,1.0
random_forest_6_20hz,random_forest,"['acc_x', 'acc_y', 'acc_z', 'gyro_x', 'gyro_y']",5,6,0.35,20,base,,default,models/inf_time_test/random_forest/optimized/base\random_forest_random_forest_6_20hz.py,1.0,1.0,1.0,1.0
random_forest_4_20hz,random_forest,"['acc_x', 'acc_y', 'acc_z', 'gyro_x', 'gyro_z']",5,4,0.35,20,base,,default,models/inf_time_test/random_forest/optimized/base\random_forest_random_forest_4_20hz.py,1.0,1.0,1.0,1.0
random_forest_5_25hz,random_forest,"['acc_x', 'acc_y', 'acc_z', 'gyro_x', 'gyro_y', 'gyro_z']",6,5,0.35,25,base,,default,models/inf_time_test/random_forest/optimized/base\random_forest_random_forest_5_25hz.py,0.9875,0.984375,0.9924242424242424,0.9880893300248139
random_forest_6_25hz,random_forest,"['acc_x', 'acc_y', 'acc_z', 'gyro_x', 'gyro_y', 'gyro_z']",6,6,0.35,25,base,,default,models/inf_time_test/random_forest/optimized/base\random_forest_random_forest_6_25hz.py,0.9875,0.984375,0.9924242424242424,0.9880893300248139
random_forest_6_50hz,random_forest,"['acc_x', 'acc_y', 'acc_z', 'gyro_x', 'gyro_y']",5,6,0.35,50,base,,default,models/inf_time_test/random_forest/optimized/base\random_forest_random_forest_6_50hz.py,1.0,1.0,1.0,1.0
random_forest_6_50hz,random_forest,"['acc_x', 'acc_y', 'acc_z', 'gyro_x', 'gyro_z']",5,6,0.35,50,base,,default,models/inf_time_test/random_forest/optimized/base\random_forest_random_forest_6_50hz.py,1.0,1.0,1.0,1.0
random_forest_5_50hz,random_forest,"['acc_x', 'acc_y', 'acc_z', 'gyro_x', 'gyro_y', 'gyro_z']",6,5,0.35,50,base,,default,models/inf_time_test/random_forest/optimized/base\random_forest_random_forest_5_50hz.py,1.0,1.0,1.0,1.0
random_forest_4_20hz,random_forest,"['acc_x', 'acc_y', 'acc_z', 'gyro_x', 'gyro_y']",5,4,0.35,20,base,,default,models/inf_time_test/random_forest/optimized/base\random_forest_random_forest_4_20hz.py,1.0,1.0,1.0,1.0
random_forest_5_20hz,random_forest,"['acc_x', 'acc_y', 'acc_z', 'gyro_x', 'gyro_y']",5,5,0.35,20,base,,default,models/inf_time_test/random_forest/optimized/base\random_forest_random_forest_5_20hz.py,1.0,1.0,1.0,1.0
random_forest_6_20hz,random_forest,"['acc_x', 'acc_y', 'acc_z', 'gyro_x', 'gyro_y']",5,6,0.35,20,base,,default,models/inf_time_test/random_forest/optimized/base\random_forest_random_forest_6_20hz.py,1.0,1.0,1.0,1.0
random_forest_4_20hz,random_forest,"['acc_x', 'acc_y', 'acc_z', 'gyro_x', 'gyro_z']",5,4,0.35,20,base,,default,models/inf_time_test/random_forest/optimized/base\random_forest_random_forest_4_20hz.py,1.0,1.0,1.0,1.0
random_forest_5_25hz,random_forest,"['acc_x', 'acc_y', 'acc_z', 'gyro_x', 'gyro_y', 'gyro_z']",6,5,0.35,25,base,,default,models/inf_time_test/random_forest/optimized/base\random_forest_random_forest_5_25hz.py,0.9875,0.984375,0.9924242424242424,0.9880893300248139
random_forest_6_25hz,random_forest,"['acc_x', 'acc_y', 'acc_z', 'gyro_x', 'gyro_y', 'gyro_z']",6,6,0.35,25,base,,default,models/inf_time_test/random_forest/optimized/base\random_forest_random_forest_6_25hz.py,0.9875,0.984375,0.9924242424242424,0.9880893300248139
random_forest_6_50hz,random_forest,"['acc_x', 'acc_y', 'acc_z', 'gyro_x', 'gyro_y']",5,6,0.35,50,base,,default,models/inf_time_test/random_forest/optimized/base\random_forest_random_forest_6_50hz.py,1.0,1.0,1.0,1.0
random_forest_6_50hz,random_forest,"['acc_x', 'acc_y', 'acc_z', 'gyro_x', 'gyro_z']",5,6,0.35,50,base,,default,models/inf_time_test/random_forest/optimized/base\random_forest_random_forest_6_50hz.py,1.0,1.0,1.0,1.0
random_forest_5_50hz,random_forest,"['acc_x', 'acc_y', 'acc_z', 'gyro_x', 'gyro_y', 'gyro_z']",6,5,0.35,50,base,,default,models/inf_time_test/random_forest/optimized/base\random_forest_random_forest_5_50hz.py,1.0,1.0,1.0,1.0
random_forest_4_20hz,random_forest,"['acc_x', 'acc_y', 'acc_z', 'gyro_x', 'gyro_y']",5,4,0.35,20,base,,default,models/optimized/base/random_forest/random_forest_random_forest_4_20hz.py,1.0,1.0,1.0,1.0
random_forest_5_20hz,random_forest,"['acc_x', 'acc_y', 'acc_z', 'gyro_x', 'gyro_y']",5,5,0.35,20,base,,default,models/optimized/base/random_forest/random_forest_random_forest_5_20hz.py,1.0,1.0,1.0,1.0
random_forest_6_20hz,random_forest,"['acc_x', 'acc_y', 'acc_z', 'gyro_x', 'gyro_y']",5,6,0.35,20,base,,default,models/optimized/base/random_forest/random_forest_random_forest_6_20hz.py,1.0,1.0,1.0,1.0
random_forest_4_20hz,random_forest,"['acc_x', 'acc_y', 'acc_z', 'gyro_x', 'gyro_z']",5,4,0.35,20,base,,default,models/optimized/base/random_forest/random_forest_random_forest_4_20hz.py,1.0,1.0,1.0,1.0
random_forest_5_25hz,random_forest,"['acc_x', 'acc_y', 'acc_z', 'gyro_x', 'gyro_y', 'gyro_z']",6,5,0.35,25,base,,default,models/optimized/base/random_forest/random_forest_random_forest_5_25hz.py,0.9875,0.984375,0.9924242424242424,0.9880893300248139
random_forest_6_25hz,random_forest,"['acc_x', 'acc_y', 'acc_z', 'gyro_x', 'gyro_y', 'gyro_z']",6,6,0.35,25,base,,default,models/optimized/base/random_forest/random_forest_random_forest_6_25hz.py,0.9875,0.984375,0.9924242424242424,0.9880893300248139
random_forest_6_50hz,random_forest,"['acc_x', 'acc_y', 'acc_z', 'gyro_x', 'gyro_y']",5,6,0.35,50,base,,default,models/optimized/base/random_forest/random_forest_random_forest_6_50hz.py,1.0,1.0,1.0,1.0
random_forest_6_50hz,random_forest,"['acc_x', 'acc_y', 'acc_z', 'gyro_x', 'gyro_z']",5,6,0.35,50,base,,default,models/optimized/base/random_forest/random_forest_random_forest_6_50hz.py,1.0,1.0,1.0,1.0
random_forest_5_50hz,random_forest,"['acc_x', 'acc_y', 'acc_z', 'gyro_x', 'gyro_y', 'gyro_z']",6,5,0.35,50,base,,default,models/optimized/base/random_forest/random_forest_random_forest_5_50hz.py,1.0,1.0,1.0,1.0
